school_enrollment,classize,yhat1,yhat2,yhat3,yhat4
5,5,3.4451218,,,
8,8,7.4083123,,,
9,9.666667,8.661499,,,
10,10,9.8807478,,,
11,13,11.066059,,,
12,12,12.217431,,,
13,13,13.334866,,,
14,14.428571,14.418362,,,
15,15.166667,15.467919,,,
16,16,16.48354,,,
17,16.888889,17.465219,,,
18,18,18.412964,,,
19,19,19.326769,,,
20,20,20.206635,,,
21,20.571428,21.052563,,,
22,21.428572,21.864553,,,
23,22.9375,22.642607,,,
24,23.133333,23.386721,,,
25,24.75,24.096895,,,
26,26,24.773132,,,
27,23.384615,25.415432,,,
28,27.066668,26.023794,,,
29,28.200001,26.598217,,,
30,28.799999,27.1387,,,
31,28.142857,27.645248,,,
32,30.888889,28.117855,,,
33,27.111111,28.556526,,,
34,28.083332,28.961258,,,
35,30.181818,29.33205,,,
36,27.444445,29.668907,,,
37,26.222221,29.971825,,,
38,33.099998,30.240803,,,
39,31.200001,30.475843,,,
40,29.888889,30.676947,,,
41,22.678572,,21.850424,,
42,23.4,,22.262871,,
43,22.125,,22.671017,,
44,24.411764,,23.074862,,
45,22.736841,,23.474403,,
46,22.549999,,23.869646,,
47,24.166668,,24.260586,,
48,24.807692,,24.647224,,
49,25.049999,,25.02956,,
50,24.888889,,25.407597,,
51,25.333332,,25.78133,,
52,27.478262,,26.150763,,
53,26.035713,,26.515894,,
54,26.545456,,26.876724,,
55,26.045456,,27.233253,,
56,26.416668,,27.58548,,
57,26.799999,,27.933405,,
58,26.555555,,28.277029,,
59,28.821428,,28.616352,,
60,28.84,,28.951374,,
61,29.863636,,29.282093,,
62,29.678572,,29.608511,,
63,31,,29.930628,,
64,29.6875,,30.248444,,
65,32,,30.561958,,
66,31.958332,,30.87117,,
67,30.923077,,31.176081,,
68,32.599998,,31.47669,,
69,32.416668,,31.772999,,
70,32.666668,,32.065006,,
71,33.090908,,32.352711,,
72,31.85,,32.636116,,
73,33.349998,,32.915218,,
74,34.869564,,33.190018,,
75,31.25,,33.460518,,
76,33.26923,,33.726715,,
77,32.099998,,33.988613,,
78,36.153847,,34.246208,,
79,32.612904,,34.4995,,
80,35.064514,,34.748493,,
81,32.473682,,,31.579918,
82,30.4,,,31.463875,
83,30.700001,,,31.361626,
84,30.380953,,,31.27317,
85,30.208332,,,31.198509,
86,33.666668,,,31.137644,
87,31.555555,,,31.090572,
88,33.099998,,,31.057297,
89,32.285713,,,31.037815,
90,31.1,,,31.032127,
92,29.71875,,,31.062136,
93,31.833332,,,31.097832,
94,31.75,,,31.147322,
95,30.178572,,,31.210608,
96,31.5,,,31.287687,
97,33.529411,,,31.378561,
98,32.400002,,,31.483229,
99,31.153847,,,31.601692,
100,30.142857,,,31.73395,
101,33,,,31.880001,
102,29.307692,,,32.039848,
103,31.111111,,,32.21349,
104,34.666668,,,32.400925,
105,32.333332,,,32.602154,
106,34,,,32.817181,
107,34,,,33.045998,
108,36,,,33.288612,
109,34.277779,,,33.545021,
110,28.833332,,,33.815224,
111,34.25,,,34.09922,
112,34.333332,,,34.397015,
113,35.333332,,,34.708599,
114,34.400002,,,35.033981,
115,38.444443,,,35.373158,
116,33.076923,,,35.726124,
117,36.166668,,,36.092892,
118,37.133331,,,36.47345,
119,35.894737,,,36.867802,
120,37.952381,,,37.275951,
121,37.888889,,,,36.214603
122,36.111111,,,,35.965027
123,30.75,,,,35.731869
124,38,,,,35.515137
125,37.166668,,,,35.314827
126,38.666668,,,,35.130939
127,32.857143,,,,34.96347
128,39.666668,,,,34.812428
129,32.25,,,,34.677807
130,35.299999,,,,34.559608
131,32.75,,,,34.457832
133,33.25,,,,34.303543
134,37.5,,,,34.251034
135,31,,,,34.214947
137,32.25,,,,34.192039
138,34.5,,,,34.205219
139,33.142857,,,,34.234821
140,35,,,,34.280842
142,34.583332,,,,34.422157
144,33.5,,,,34.629162
145,36.25,,,,34.757298
149,34.75,,,,35.434063
150,35.142857,,,,35.64431
153,38.25,,,,36.373585
154,37.666668,,,,36.649521
155,36,,,,36.941879
157,39.25,,,,37.575863
158,35.125,,,,37.917488
