school_enrollment,avgmath,yhat1,yhat2,yhat3,yhat4
5,74,63.263779,,,
8,45.669998,64.068047,,,
9,57.759998,64.287918,,,
10,69.772499,64.483681,,,
11,63.406666,64.655334,,,
12,54.75,64.802872,,,
13,70.636665,64.926308,,,
14,70.991425,65.025627,,,
15,65.28167,65.100845,,,
16,68.790001,65.151947,,,
17,66.541107,65.178947,,,
18,66.099998,65.181831,,,
19,67.091667,65.160606,,,
20,65.763885,65.115273,,,
21,65.506432,65.04583,,,
22,63.805,64.952278,,,
23,62.611252,64.834618,,,
24,63.985332,64.692841,,,
25,55.16375,64.526962,,,
26,57.130001,64.336975,,,
27,66.157692,64.122871,,,
28,61.880665,63.884663,,,
29,67.464996,63.622345,,,
30,66.077995,63.335915,,,
31,61.5,63.025379,,,
32,72.083336,62.690731,,,
33,63.00111,62.331974,,,
34,60.018333,61.949108,,,
35,62.115456,61.542133,,,
36,61.245556,61.111046,,,
37,57.281055,60.655853,,,
38,58.546001,60.176548,,,
39,59.558636,59.673134,,,
40,60.483971,59.145611,,,
41,64.010384,,64.284782,,
42,58.709324,,64.40239,,
43,64.297424,,64.519348,,
44,66.173653,,64.635674,,
45,67.305359,,64.751366,,
46,65.90786,,64.866409,,
47,65.457687,,64.98082,,
48,64.878555,,65.094589,,
49,70.347961,,65.207726,,
50,70.196709,,65.320213,,
51,66.050652,,65.432068,,
52,66.55127,,65.543282,,
53,64.100113,,65.653862,,
54,65.847969,,65.763794,,
55,63.005268,,65.873093,,
56,62.847557,,65.98175,,
57,64.983772,,66.089775,,
58,69.495033,,66.197159,,
59,66.213158,,66.303902,,
60,67.491356,,66.410004,,
61,65.612274,,66.515465,,
62,64.777443,,66.620293,,
63,65.795471,,66.72448,,
64,59.488224,,66.828026,,
65,68.842346,,66.930939,,
66,69.392342,,67.033211,,
67,69.759438,,67.134842,,
68,69.887276,,67.235832,,
69,67.616844,,67.336189,,
70,68.326286,,67.435905,,
71,68.292725,,67.534981,,
72,64.651794,,67.633415,,
73,67.023117,,67.731216,,
74,63.955803,,67.828377,,
75,69.27417,,67.924896,,
76,68.443192,,68.020775,,
77,66.028259,,68.11602,,
78,69.472458,,68.210625,,
79,69.110397,,68.304588,,
80,69.254921,,68.397919,,
81,66.2061,,,69.232819,
82,70.375786,,,69.115173,
83,71.975998,,,69.004776,
84,70.082077,,,68.901634,
85,70.431328,,,68.80574,
86,65.262482,,,68.717102,
87,68.808052,,,68.635719,
88,69.067986,,,68.561584,
89,63.865883,,,68.494698,
90,70.990227,,,68.435066,
92,70.991028,,,68.337563,
93,61.271667,,,68.29969,
94,64.084999,,,68.269066,
95,67.049866,,,68.245697,
96,71.668137,,,68.229584,
97,67.492729,,,68.220718,
98,70.735359,,,68.219101,
99,69.818596,,,68.224739,
100,72.429893,,,68.237633,
101,62.759911,,,68.257774,
102,68.251244,,,68.285172,
103,74.788887,,,68.319817,
104,65.5653,,,68.361717,
105,66.989655,,,68.410873,
106,60.543537,,,68.467278,
107,73.39415,,,68.53093,
108,66.415413,,,68.601845,
109,66.583633,,,68.68,
110,66.416435,,,68.765411,
111,68.919319,,,68.858078,
112,75.625481,,,68.958,
113,68.834,,,69.06517,
114,67.531708,,,69.179588,
115,69.611511,,,69.301262,
116,62.649067,,,69.430191,
117,70.419998,,,69.566368,
118,69.208015,,,69.709793,
119,71.753006,,,69.860481,
120,72.085831,,,70.01841,
121,71.994072,,,,71.02565
122,73.737144,,,,70.924957
123,61.430096,,,,70.835686
124,71.129997,,,,70.757828
125,66.634514,,,,70.691391
126,73.436668,,,,70.636368
127,70.316063,,,,70.592766
128,71.113335,,,,70.560585
129,69.889999,,,,70.539818
130,67.101593,,,,70.530472
131,71.451797,,,,70.532539
133,73.842499,,,,70.570938
134,71.731667,,,,70.607269
135,77.940002,,,,70.655014
137,78.967682,,,,70.78476
138,73.427505,,,,70.86676
139,76.057373,,,,70.960182
140,69.513718,,,,71.065018
142,71.172501,,,,71.308945
144,61.996586,,,,71.598549
145,69.653503,,,,71.760475
149,63.77,,,,72.522377
150,75.272705,,,,72.741402
153,74.014984,,,,73.466972
154,67.928261,,,,73.731667
155,77.022285,,,,74.007782
157,77.943336,,,,74.594261
158,80.010078,,,,74.904633
