school_enrollment,disadvantaged,yhat1,yhat2,yhat3,yhat4
5,31,21.090633,,,
8,31,21.186316,,,
9,29,21.21747,,,
10,14.75,21.248253,,,
11,26,21.278666,,,
12,22.799999,21.308708,,,
13,2.6666667,21.338381,,,
14,22.428572,21.367683,,,
15,22,21.396616,,,
16,14.8,21.425177,,,
17,22.111111,21.453369,,,
18,24.75,21.48119,,,
19,13.083333,21.508642,,,
20,25.555555,21.535723,,,
21,20.928572,21.562433,,,
22,22.642857,21.588774,,,
23,22.4375,21.614742,,,
24,21.133333,21.640343,,,
25,32.5,21.665573,,,
26,20.5,21.690432,,,
27,25.461538,21.71492,,,
28,17.200001,21.73904,,,
29,20.799999,21.762789,,,
30,24.200001,21.786167,,,
31,31.285713,21.809174,,,
32,12,21.831812,,,
33,21.111111,21.85408,,,
34,21.666668,21.875977,,,
35,14.909091,21.897505,,,
36,24.444445,21.918661,,,
37,24.666668,21.939447,,,
38,28.6,21.959864,,,
39,14.7,21.97991,,,
40,25.111111,21.999586,,,
41,22.964287,,22.316666,,
42,32.84,,22.028528,,
43,17.083332,,21.738052,,
44,21.588236,,21.445236,,
45,10.947368,,21.150082,,
46,25.5,,20.852589,,
47,20.533333,,20.552757,,
48,20.692308,,20.250586,,
49,19.549999,,19.946075,,
50,14.666667,,19.639227,,
51,15.6,,19.33004,,
52,14,,19.018513,,
53,19.571428,,18.704649,,
54,16.909092,,18.388445,,
55,20.909092,,18.069901,,
56,22.583332,,17.74902,,
57,19.700001,,17.425798,,
58,11.888889,,17.100239,,
59,18.571428,,16.772339,,
60,15.64,,16.442102,,
61,13.363636,,16.109526,,
62,21.071428,,15.774611,,
63,13.875,,15.437356,,
64,20.25,,15.097763,,
65,10.4,,14.755832,,
66,16.083332,,14.41156,,
67,9.3846149,,14.064951,,
68,15.2,,13.716002,,
69,16.833332,,13.364715,,
70,9.0370369,,13.011088,,
71,10.727273,,12.655124,,
72,20.4,,12.29682,,
73,11.8,,11.936176,,
74,13.130435,,11.573195,,
75,14.25,,11.207874,,
76,6.2692308,,10.840214,,
77,15,,10.470216,,
78,10.230769,,10.097878,,
79,7.1935482,,9.7232018,,
80,9.3870964,,9.3461866,,
81,10.368421,,,12.719087,
82,10.666667,,,12.600042,
83,13.9,,,12.479067,
84,10.904762,,,12.356163,
85,15.333333,,,12.231328,
86,12.166667,,,12.104564,
87,10.555556,,,11.975869,
88,24.6,,,11.845244,
89,11.047619,,,11.71269,
90,14.8,,,11.578206,
92,8.375,,,11.303447,
93,10,,,11.163173,
94,11.9375,,,11.020967,
95,11.785714,,,10.876833,
96,12.5,,,10.730769,
97,8.1176472,,,10.582775,
98,6.1999998,,,10.43285,
99,8.9230766,,,10.280996,
100,12.142857,,,10.127212,
101,12.25,,,9.9714975,
102,13.076923,,,9.8138533,
103,4.3333335,,,9.6542788,
104,10.5,,,9.492774,
105,3.5,,,9.32934,
106,9,,,9.1639757,
107,7.5,,,8.9966822,
108,4.5,,,8.8274574,
109,8.333333,,,8.6563034,
110,12.5,,,8.4832191,
111,9,,,8.3082047,
112,3,,,8.1312609,
113,7.8000002,,,7.9523869,
114,12,,,7.7715826,
115,9.333333,,,7.5888486,
116,13.538462,,,7.4041843,
117,4.75,,,7.2175903,
118,8.8000002,,,7.0290666,
119,5.4736843,,,6.8386126,
120,4.5714288,,,6.6462283,
121,9,,,,7.7887001
122,7,,,,7.7925448
123,12,,,,7.7905622
124,3,,,,7.7827511
125,5.5,,,,7.7691131
126,11,,,,7.7496467
127,9.9285717,,,,7.7243528
128,11,,,,7.6932316
129,9.5,,,,7.6562824
130,5.0999999,,,,7.6135054
131,2,,,,7.5649009
133,1,,,,7.4502087
134,7.4000001,,,,7.3841209
135,8,,,,7.3122058
137,4,,,,7.1508918
138,4,,,,7.0614934
139,11.857143,,,,6.9662671
140,9,,,,6.8652134
142,7.3333335,,,,6.6456227
144,10,,,,6.4027214
145,7,,,,6.2725286
149,9,,,,5.6934824
150,5.1428571,,,,5.5341516
153,2,,,,5.021193
154,4.6666665,,,,4.8385515
155,5,,,,4.6500821
157,8,,,,4.2556605
158,2.5,,,,4.0497084
