school_enrollment,c
5,1
8,1
9,3
10,4
11,3
12,5
13,3
14,7
15,6
16,5
17,9
18,4
19,12
20,18
21,14
22,14
23,16
24,15
25,8
26,4
27,12
28,15
29,10
30,10
31,7
32,9
33,8
34,11
35,10
36,7
37,7
38,9
39,8
40,7
41,16
42,15
43,13
44,10
45,10
46,10
47,16
48,14
49,11
50,9
51,15
52,12
53,14
54,11
55,11
56,12
57,10
58,9
59,14
60,13
61,11
62,14
63,8
64,8
65,10
66,12
67,6
68,10
69,12
70,14
71,11
72,10
73,10
74,12
75,5
76,12
77,5
78,7
79,13
80,14
81,8
82,6
83,4
84,8
85,9
86,5
87,7
88,4
89,8
90,4
92,11
93,2
94,6
95,9
96,8
97,6
98,5
99,9
100,7
101,4
102,4
103,3
104,2
105,2
106,5
107,4
108,2
109,6
110,2
111,4
112,3
113,5
114,5
115,3
116,4
117,4
118,5
119,6
120,7
121,3
122,3
123,1
124,1
125,2
126,1
127,4
128,1
129,2
130,3
131,2
133,1
134,3
135,1
137,1
138,1
139,2
140,1
142,3
144,1
145,2
149,1
150,2
153,2
154,3
155,1
157,1
158,2
160,2
166,1
170,1
171,1
172,1
173,1
177,1
188,1
194,1
199,1
208,1
214,1
226,1
